date,ticker,open,high,low,close,MA_3
2010-07-17,BTC,0.04951,0.04951,0.04951,0.04951,
2010-07-18,BTC,0.04951,0.08585,0.04951,0.08584,
2010-07-19,BTC,0.08584,0.09307,0.07723,0.0808,0.07205
2010-07-20,BTC,0.0808,0.08181,0.07426,0.07474,0.08045999999999999
2010-07-21,BTC,0.07474,0.07921,0.06634,0.07921,0.07825
2010-07-22,BTC,0.07921,0.08181,0.0505,0.0505,0.06815
2010-07-23,BTC,0.0505,0.06767,0.0505,0.06262,0.06411
2010-07-24,BTC,0.06262,0.06262,0.05049,0.05454,0.05588666666666667
2010-07-25,BTC,0.05454,0.05941,0.0505,0.0505,0.05588666666666667
2010-07-26,BTC,0.0505,0.056,0.05,0.056,0.053680000000000005
2010-07-27,BTC,0.056,0.0605,0.053,0.06,0.055499999999999994
2010-07-28,BTC,0.06,0.062,0.054,0.0589,0.0583
2010-07-29,BTC,0.0589,0.0699,0.0571,0.0699,0.06293333333333334
2010-07-30,BTC,0.0699,0.0699,0.0582,0.0627,0.06383333333333334
2010-07-31,BTC,0.0627,0.06889,0.056,0.06785,0.06681666666666668
2010-08-01,BTC,0.06785,0.06785,0.06,0.0611,0.06388333333333333
2010-08-02,BTC,0.0611,0.0633,0.06,0.06,0.06298333333333334
2010-08-03,BTC,0.06,0.065,0.059,0.06,0.06036666666666667
2010-08-04,BTC,0.06,0.06231,0.057,0.057,0.059000000000000004
2010-08-05,BTC,0.057,0.061,0.057,0.061,0.05933333333333334
2010-08-06,BTC,0.061,0.0624,0.0607,0.0623,0.06010000000000001
2010-08-07,BTC,0.0623,0.0623,0.059,0.059,0.06076666666666667
2010-08-08,BTC,0.059,0.061,0.059,0.0609,0.06073333333333334
2010-08-09,BTC,0.0609,0.0735,0.0593,0.071,0.06363333333333333
2010-08-10,BTC,0.071,0.071,0.06651,0.07,0.06730000000000001
2010-08-11,BTC,0.07,0.07541,0.06,0.067,0.06933333333333334
2010-08-12,BTC,0.067,0.07,0.06141,0.07,0.069
2010-08-13,BTC,0.07,0.07,0.0645,0.0645,0.06716666666666667
2010-08-14,BTC,0.0645,0.0695,0.0645,0.067,0.06716666666666667
2010-08-15,BTC,0.067,0.067,0.065,0.06529,0.06559666666666668
2010-08-16,BTC,0.06529,0.0679,0.062,0.0655,0.06593
2010-08-17,BTC,0.0655,0.0769,0.06243,0.07,0.06693
2010-08-18,BTC,0.07,0.0733,0.067,0.068,0.06783333333333334
2010-08-19,BTC,0.068,0.068,0.0667,0.0667,0.06823333333333333
2010-08-20,BTC,0.0667,0.0667,0.065,0.0655,0.06673333333333333
2010-08-21,BTC,0.0655,0.0669,0.0644,0.0664,0.0662
2010-08-22,BTC,0.0664,0.0664,0.0612,0.066,0.06596666666666667
2010-08-23,BTC,0.066,0.06689,0.063,0.06491,0.06577000000000001
2010-08-24,BTC,0.06491,0.0665,0.06491,0.065,0.06530333333333334
2010-08-25,BTC,0.065,0.0665,0.0641,0.0648,0.06490333333333334
2010-08-26,BTC,0.0648,0.0658,0.064,0.064,0.0646
2010-08-27,BTC,0.064,0.065,0.063,0.065,0.0646
2010-08-28,BTC,0.065,0.065,0.0641,0.0641,0.06436666666666667
2010-08-29,BTC,0.0641,0.0648,0.064,0.064,0.06436666666666667
2010-08-30,BTC,0.064,0.069,0.03211,0.06497,0.06435666666666667
2010-08-31,BTC,0.06497,0.06497,0.06,0.06,0.06299
2010-09-01,BTC,0.06,0.0629,0.05961,0.0629,0.06262333333333334
2010-09-02,BTC,0.0629,0.0634,0.0601,0.0634,0.06210000000000001
2010-09-03,BTC,0.0634,0.0634,0.06085,0.06085,0.06238333333333334
2010-09-04,BTC,0.06085,0.06238,0.06085,0.06238,0.06221000000000001
2010-09-05,BTC,0.06238,0.064,0.0605,0.0616,0.061610000000000005
2010-09-06,BTC,0.0616,0.0627,0.0616,0.0616,0.061860000000000005
2010-09-07,BTC,0.0616,0.06201,0.0603,0.061,0.06140000000000001
2010-09-08,BTC,0.061,0.062,0.06099,0.062,0.061533333333333336
2010-09-09,BTC,0.062,0.0624,0.06109,0.06111,0.06137000000000001
2010-09-10,BTC,0.06111,0.0618,0.06014,0.0618,0.06163666666666667
2010-09-11,BTC,0.0618,0.065,0.0618,0.06366,0.06219
2010-09-12,BTC,0.06366,0.06366,0.0615,0.0615,0.06232000000000001
2010-09-13,BTC,0.0615,0.064,0.0607,0.06219,0.06245
2010-09-14,BTC,0.06219,0.175,0.061,0.06199,0.061893333333333335
2010-09-15,BTC,0.06199,0.0625,0.0604,0.0604,0.061526666666666674
2010-09-16,BTC,0.0604,0.0619,0.0604,0.0619,0.061430000000000005
2010-09-17,BTC,0.0619,0.0619,0.059,0.059,0.06043333333333334
2010-09-18,BTC,0.059,0.061,0.05761,0.061,0.06063333333333334
2010-09-19,BTC,0.061,0.0627,0.06,0.0627,0.06090000000000001
2010-09-20,BTC,0.0627,0.0634,0.062,0.0621,0.06193333333333334
2010-09-21,BTC,0.0621,0.0633,0.0621,0.06265,0.062483333333333335
2010-09-22,BTC,0.06265,0.06265,0.06147,0.0622,0.062316666666666666
2010-09-23,BTC,0.0622,0.063,0.0615,0.06231,0.06238666666666667
2010-09-24,BTC,0.06231,0.0624,0.06209,0.0622,0.06223666666666667
2010-09-25,BTC,0.0622,0.0624,0.0617,0.06202,0.062176666666666665
2010-09-26,BTC,0.06202,0.06228,0.06186,0.062,0.062073333333333335
2010-09-27,BTC,0.062,0.06228,0.0619,0.0622,0.062073333333333335
2010-09-28,BTC,0.0622,0.06271,0.0617,0.0619,0.062033333333333336
2010-09-29,BTC,0.0619,0.062,0.0615,0.06191,0.062003333333333334
2010-09-30,BTC,0.06191,0.06191,0.06155,0.0619,0.06190333333333333
2010-10-01,BTC,0.0619,0.062,0.06189,0.06197,0.061926666666666665
2010-10-02,BTC,0.06197,0.06197,0.06125,0.0614,0.061756666666666675
2010-10-03,BTC,0.0614,0.0614,0.061,0.06111,0.06149333333333334
2010-10-04,BTC,0.06111,0.062,0.06081,0.0613,0.06127000000000001
2010-10-05,BTC,0.0613,0.06301,0.0609,0.0614,0.06127
2010-10-06,BTC,0.0614,0.0635,0.0612,0.06281,0.06183666666666667
2010-10-07,BTC,0.06281,0.067,0.0628,0.067,0.06373666666666668
2010-10-08,BTC,0.067,0.088,0.01,0.08685,0.07222
2010-10-09,BTC,0.08685,0.12,0.068,0.0938,0.08255
2010-10-10,BTC,0.0938,0.1301,0.07999,0.0965,0.09238333333333333
2010-10-11,BTC,0.0965,0.103,0.091,0.095,0.0951
2010-10-12,BTC,0.095,0.099,0.082,0.0949,0.09546666666666666
2010-10-13,BTC,0.0949,0.105,0.092,0.105,0.0983
2010-10-14,BTC,0.105,0.105,0.065,0.102,0.10063333333333334
